"","zip","Boligareal","Vgtet_areal","Grundareal","Rum_vrelser","Antal_plan","Bygger","Ejerudgifter_pr__md_","Pris_m_","Liggetid","Udbetaling","Brutto_ekskl__ejerudgifter","Netto_ekskl__ejerudgifter","Ombygget","Klder","Prisudvikling","pris"
"255",6372,154,155,1000,32,3,1952,1141,4161,176,35000,3261,2678,2012,6,0,644955
"256",6372,115,150,1167,32,3,1940,1111,5300,403,40000,4252,3414,0,70,0,795000
"257",6372,164,166,964,54,1,1977,1142,2982,149,25000,2705,2171,2002,0,0,495012
"258",6372,127,158,767,54,3,1951,1044,2500,2191,25000,1999,1642,0,78,0,395000
"259",2920,189,210,1376,64,2,1933,10690,61905,149,650000,68608,56198,0,101,7,13000050
"260",2920,146,150,788,53,2,1930,6601,79667,211,0,62904,51525,0,0,14,11950050
"261",2920,187,219,911,75,1,1933,8471,82169,127,0,94935,77710,0,102,0,17995011
"262",2920,203,243,594,85,2,1959,14238,102675,134,1250000,131271,107527,2021,206,9,24950025
"263",6070,171,177,703,53,2,1967,NA,NA,0,60000,6246,5021,1977,0,0,NA
"264",6070,138,156,930,54,1,1973,1834,9263,115,75000,7656,6151,0,0,3,1445028
"265",6070,138,142,898,42,1,1964,1988,6514,519,50000,5042,4054,1979,0,7,924988
"266",6070,127,143,840,54,1,1957,1858,11853,161,85000,9003,7233,1970,14,0,1694979
"267",6070,111,142,799,53,3,1956,1780,9120,386,65000,7060,5677,0,62,7,1295040
"268",6070,123,143,815,63,3,1846,1422,4545,364,35000,3567,2867,0,8,0,649935
"269",6070,73,76,406,31,1,1947,1524,11184,1092,45000,4529,3641,2011,0,13,849984
"270",6070,152,162,1294,43,2,1907,1426,5525,181,45000,4758,3822,1982,0,10,895050
"271",6070,220,270,930,76,2,1954,2364,5907,1535,80000,7793,6407,0,130,20,1594890
"272",6070,121,193,2370,42,2,1936,1431,3083,1380,30000,3212,2580,0,16,25,595019
"273",6070,189,194,1084,54,1,2018,2581,17500,139,170000,17996,14459,0,0,8,3395000
"274",6070,183,197,955,76,1,1981,1922,8604,287,85000,9775,7714,1998,0,0,1694988
"275",5380,118,127,968,42,1,1963,1702,6260,330,40000,4272,3413,0,0,0,795020
"276",4261,98,105,912,42,1,1963,1605,9476,114,50000,5524,4456,0,0,7,994980
"277",4983,205,284,3155,74,3,1886,2061,4560,162,65000,7060,5619,0,0,7,1295040
"278",4983,98,210,2293,32,2,1827,1388,3786,311,40000,4274,3400,0,0,6,795060
"279",4983,120,134,690,43,2,1907,913,3172,820,25000,2296,1826,1980,0,9,425048
"280",4293,69,76,612,21,1,1922,1505,9145,191,35000,3749,2990,2003,0,0,695020
"281",2791,62,66,140,22,2,1782,1687,93712,102,310000,32910,26711,0,0,7,6184992
"282",2791,105,101,99,42,2,1750,4956,56386,156,285000,30079,24395,1881,0,0,5694986
"283",2791,90,89,109,32,2,1798,4839,56124,84,250000,26544,21544,1949,0,6,4995036
"284",2791,132,129,140,42,2,1725,5287,73605,214,475000,49794,40384,2017,0,0,9495045
